transaction_id,wallet_id,user_id,merchant_id,counterparty_user_id,transaction_type_id,payment_method_id,transaction_status_id,amount,transaction_timestamp,channel,reference_number,created_at
TX000031,W006306,U006306,M000930,,1,6,1,519325.2,2026-02-01 18:46:43,QRIS,REF-254BF5DB6B6A4461,2026-02-01 18:46:43
TX000032,W007837,U007837,M000656,,1,1,1,807000.78,2025-11-06 06:41:07,MOBILE_APP,REF-3DE6114E7B474351,2025-11-06 06:41:07
TX000033,W004865,U004865,M000279,,5,1,1,818506.93,2026-07-12 23:03:05,WEB,REF-DDDAB802221A42EE,2026-07-12 23:03:05
TX000034,W008317,U008317,,,3,6,1,500000.0,2026-08-18 22:00:13,MOBILE_APP,REF-CCA607B81BBF4B16,2026-08-18 22:00:13
TX000035,W002359,U002359,,U009003,2,1,1,370643.77,2024-08-10 12:45:24,MOBILE_APP,REF-94F1874023F54C56,2024-08-10 12:45:24
TX000036,W007655,U007655,,U008186,2,1,1,652506.92,2024-12-17 14:04:59,MOBILE_APP,REF-098CE19ABD414E6B,2024-12-17 14:04:59
TX000037,W000450,U000450,M000289,,6,6,5,1326638.3,2026-03-31 18:26:33,MOBILE_APP,REF-559203D65EC44519,2026-03-31 18:26:33
TX000038,W007744,U007744,,,4,6,1,2000000.0,2025-12-21 09:42:51,BANK,REF-4324C9F031A24F8F,2025-12-21 09:42:51
TX000039,W009143,U009143,,U006354,2,1,1,836788.96,2025-04-05 18:51:31,BANK,REF-183C6421BCA54E1E,2025-04-05 18:51:31
TX000040,W002321,U002321,,U007921,2,1,4,1383354.01,2026-07-17 16:05:27,MOBILE_APP,REF-9E6C8D65076140D2,2026-07-17 16:05:27
TX000041,W001781,U001781,,U004346,2,1,1,213878.97,2025-06-26 19:15:02,MOBILE_APP,REF-581FEFE54A3441D9,2025-06-26 19:15:02
TX000042,W006383,U006383,,U006509,2,1,1,125684.02,2026-08-15 18:32:14,QRIS,REF-BBC870CC2D784BCA,2026-08-15 18:32:14
TX000043,W005977,U005977,,,4,6,1,50000.0,2026-01-20 13:38:34,BANK,REF-E1C1532FBDFB46C0,2026-01-20 13:38:34
TX000044,W001574,U001574,M000416,,6,3,1,593925.43,2025-11-28 21:22:34,MOBILE_APP,REF-92CB2A717F5B4DD7,2025-11-28 21:22:34
TX000045,W001668,U001668,,,4,6,1,500000.0,2025-07-07 19:27:51,BANK,REF-F24E97B9E65C4F14,2025-07-07 19:27:51
TX000046,W002682,U002682,M000166,,1,2,1,976717.76,2025-05-02 19:55:53,QRIS,REF-AFB03E56AB524349,2025-05-02 19:55:53
TX000047,W000632,U000632,,,3,3,1,50000.0,2026-06-12 16:24:55,MOBILE_APP,REF-C30944FE3584498C,2026-06-12 16:24:55
TX000048,W000452,U000452,,,3,6,1,20000.0,2025-01-23 09:06:15,BANK,REF-667D238C17424DE3,2025-01-23 09:06:15
TX000049,W005956,U005956,M000026,,6,3,1,1442119.84,2026-07-26 22:59:24,BANK,REF-380865BD25464101,2026-07-26 22:59:24
TX000050,W003871,U003871,M000616,,6,1,1,844691.54,2026-06-11 15:31:35,BANK,REF-B178DBC4382A494D,2026-06-11 15:31:35
TX000051,W003182,U003182,M000903,,5,1,3,369738.9,2026-04-17 15:35:04,MOBILE_APP,REF-461F3CC3777D49BF,2026-04-17 15:35:04
TX000052,W004360,U004360,M000408,,1,1,1,176055.61,2026-05-05 19:43:48,MOBILE_APP,REF-4B2E07B56FFA4C2E,2026-05-05 19:43:48
TX000053,W009151,U009151,M000134,,1,1,1,1026144.08,2026-08-19 17:28:19,MOBILE_APP,REF-01A01374F1D14AD5,2026-08-19 17:28:19
TX000054,W000254,U000254,M000990,,1,2,1,271919.85,2026-02-16 11:36:44,QRIS,REF-1102AD4330D546BF,2026-02-16 11:36:44
TX000055,W004957,U004957,M000930,,6,1,1,1226597.41,2025-11-05 21:19:18,MOBILE_APP,REF-745888CACA494EFC,2025-11-05 21:19:18
TX000056,W001850,U001850,,,3,4,1,2000000.0,2026-06-08 13:52:23,MOBILE_APP,REF-4BA0AE032C1B4CA8,2026-06-08 13:52:23
TX000057,W007033,U007033,,U009838,2,1,1,88714.67,2026-08-12 17:24:05,MOBILE_APP,REF-0CB5FF6994CD40E1,2026-08-12 17:24:05
TX000058,W006528,U006528,M000182,,1,4,1,884874.73,2025-08-14 17:10:15,QRIS,REF-94EE390BCC094F47,2025-08-14 17:10:15
TX000059,W009564,U009564,M000935,,1,1,1,8520366.58,2026-02-01 15:00:07,WEB,REF-F531348F927149A2,2026-02-01 15:00:07
TX000060,W009622,U009622,M000496,,6,1,1,170476.52,2025-10-23 20:05:02,BANK,REF-973825C448714E72,2025-10-23 20:05:02
TX000061,W003184,U003184,M000128,,1,2,1,4868893.68,2026-03-06 10:25:21,QRIS,REF-0B4EBCED0C7C4829,2026-03-06 10:25:21
TX000062,W008230,U008230,,,4,6,1,100000.0,2024-10-29 19:35:29,MOBILE_APP,REF-1A139A76D5B548A9,2024-10-29 19:35:29
TX000063,W006202,U006202,M000672,,1,6,1,732109.53,2026-01-18 16:02:55,MOBILE_APP,REF-379E4502B3D9424F,2026-01-18 16:02:55
TX000064,W005440,U005440,M000664,,1,2,1,359153.6,2026-08-10 13:07:39,QRIS,REF-03678213101940C2,2026-08-10 13:07:39
TX000065,W003677,U003677,,U001013,2,1,1,599599.37,2026-02-22 12:34:13,MOBILE_APP,REF-C97F6A937F2D4647,2026-02-22 12:34:13
TX000066,W009875,U009875,M000019,,6,3,1,509160.62,2026-03-04 18:40:32,QRIS,REF-B7BFF24D4CC94783,2026-03-04 18:40:32
TX000067,W001434,U001434,,U007703,2,1,1,604129.62,2026-08-07 15:42:57,QRIS,REF-E5E5180677414BFB,2026-08-07 15:42:57
TX000068,W003058,U003058,M000616,,1,2,1,181318.11,2025-09-09 07:38:15,MOBILE_APP,REF-A8EE854469374235,2025-09-09 07:38:15
TX000069,W000161,U000161,,,3,3,1,20000.0,2026-03-27 19:08:49,BANK,REF-8D9C20245EAE40CD,2026-03-27 19:08:49
TX000070,W001435,U001435,M000961,,1,3,1,53658.14,2025-11-18 21:37:03,MOBILE_APP,REF-5A091CE92A134064,2025-11-18 21:37:03
TX000071,W005732,U005732,,,3,4,1,50000.0,2024-06-14 15:30:14,WEB,REF-FB20E28EAB854441,2024-06-14 15:30:14
TX000072,W001282,U001282,M000764,,1,1,1,1544197.21,2026-01-19 08:56:25,MOBILE_APP,REF-C44E349004DE449D,2026-01-19 08:56:25
TX000073,W005753,U005753,,,4,1,1,100000.0,2025-11-02 15:31:59,ATM,REF-CF5D641A3432489F,2025-11-02 15:31:59
TX000074,W003044,U003044,M000283,,1,1,1,7463117.55,2026-01-05 11:32:24,QRIS,REF-8119A6AE5EE54CAA,2026-01-05 11:32:24
TX000075,W005495,U005495,M000724,,1,2,1,118205.75,2026-06-06 08:15:54,QRIS,REF-E0BB16A002784725,2026-06-06 08:15:54
TX000076,W008460,U008460,,U001572,2,1,1,531434.84,2025-12-30 18:07:03,MOBILE_APP,REF-B0DA8E1F225B485A,2025-12-30 18:07:03
TX000077,W009290,U009290,,,4,6,1,1000000.0,2025-06-26 19:51:56,MOBILE_APP,REF-42989DD3A9174FFA,2025-06-26 19:51:56
TX000078,W009904,U009904,,,4,6,1,200000.0,2025-08-02 19:10:11,MOBILE_APP,REF-E35C2D4FEAC14B43,2025-08-02 19:10:11
TX000079,W009590,U009590,,,3,3,1,500000.0,2025-01-07 22:44:56,BANK,REF-CBC46714A29A4EC2,2025-01-07 22:44:56
TX000080,W004175,U004175,M000791,,1,2,1,8330718.1,2025-07-24 21:01:45,QRIS,REF-99FE139687D44E7A,2025-07-24 21:01:45
TX000081,W006554,U006554,,,3,3,1,50000.0,2026-05-28 12:59:57,BANK,REF-10CA4816971C4DEF,2026-05-28 12:59:57
TX000082,W005663,U005663,,,3,3,1,100000.0,2026-07-29 18:40:11,BANK,REF-CEAEB10C74AB4C2D,2026-07-29 18:40:11
TX000083,W002200,U002200,,U008040,2,1,1,186315.45,2025-02-20 16:56:37,BANK,REF-9EA202008FCE4394,2025-02-20 16:56:37
TX000084,W006308,U006308,,,3,6,1,2000000.0,2026-02-25 20:52:34,BANK,REF-3FE07C86D7F5406F,2026-02-25 20:52:34
TX000085,W001080,U001080,M000571,,1,1,1,795323.41,2026-07-12 15:10:22,MOBILE_APP,REF-D2861EFA62FD4D8B,2026-07-12 15:10:22
TX000086,W005529,U005529,M000693,,1,3,1,8578529.85,2024-11-29 11:18:14,QRIS,REF-145F1375025446BD,2024-11-29 11:18:14
TX000087,W002893,U002893,M000802,,1,2,1,242178.73,2025-04-11 21:45:30,QRIS,REF-DB6F6ACBAEA84116,2025-04-11 21:45:30
TX000088,W002793,U002793,,U000994,2,1,1,539585.75,2025-03-28 09:22:24,MOBILE_APP,REF-A06ADB9A2D24407D,2025-03-28 09:22:24
TX000089,W005638,U005638,,,3,3,1,20000.0,2024-07-10 18:32:11,MOBILE_APP,REF-52244508B8844F07,2024-07-10 18:32:11
TX000090,W008638,U008638,M000649,,1,3,1,750000.0,2026-05-16 09:26:07,QRIS,REF-E40D7CEAB41148AE,2026-05-16 09:26:07
TX000091,W007404,U007404,M000938,,6,1,1,1183793.49,2024-05-14 10:33:31,QRIS,REF-12515D160AE64A25,2024-05-14 10:33:31
TX000092,W001819,U001819,,U008492,2,1,1,1581740.72,2026-01-11 19:21:14,MOBILE_APP,REF-39CB30A16C54461D,2026-01-11 19:21:14
TX000093,W005029,U005029,M000450,,5,1,1,197075.0,2025-08-19 07:09:16,ATM,REF-5D09B0BB731B45AA,2025-08-19 07:09:16
TX000094,W002540,U002540,M000915,,1,6,1,7416294.82,2026-07-19 16:22:29,WEB,REF-DCAC337BF86B4D17,2026-07-19 16:22:29
TX000095,W000970,U000970,,,3,6,1,1000000.0,2026-02-23 14:14:27,BANK,REF-7A07B5B8000A4FBD,2026-02-23 14:14:27
TX000096,W009318,U009318,,U005177,2,1,1,1064262.31,2026-07-06 19:37:11,MOBILE_APP,REF-F136A3BDF7FE407B,2026-07-06 19:37:11
TX000097,W007835,U007835,M000027,,1,5,1,258152.31,2025-08-16 17:50:56,MOBILE_APP,REF-3192F674BAA94E69,2025-08-16 17:50:56
TX000098,W007856,U007856,,,4,6,1,1000000.0,2026-08-10 18:41:47,BANK,REF-C2AE2BBEFAB34234,2026-08-10 18:41:47
TX000099,W002575,U002575,M000616,,1,1,1,216671.05,2025-07-30 13:45:27,QRIS,REF-1769D22C535247C1,2025-07-30 13:45:27
TX000100,W009439,U009439,,U001139,2,1,1,1008845.41,2025-05-19 21:57:56,MOBILE_APP,REF-4CD989E22DDA4E60,2025-05-19 21:57:56
TX000101,W007169,U007169,M000132,,1,4,1,2000000.0,2025-07-05 22:41:14,MOBILE_APP,REF-B011E2BCB21548C6,2025-07-05 22:41:14
TX000102,W007867,U007867,M000049,,1,2,1,3000000.0,2026-08-02 07:27:46,MOBILE_APP,REF-8297A0B93E4743F0,2026-08-02 07:27:46
TX000103,W001169,U001169,,U006329,2,1,1,1777976.27,2026-07-30 07:31:05,WEB,REF-D6BC394903D44EE7,2026-07-30 07:31:05
TX000104,W007784,U007784,M000177,,6,1,1,41440.04,2026-07-24 21:03:09,BANK,REF-257868F3F07D4041,2026-07-24 21:03:09
TX000105,W002375,U002375,M000724,,6,1,1,1361674.01,2025-08-12 20:02:50,MOBILE_APP,REF-5141274F18E84F59,2025-08-12 20:02:50
TX000106,W002714,U002714,,U000272,2,1,1,728580.55,2025-03-19 05:10:06,ATM,REF-4FD611171B6F4FB1,2025-03-19 05:10:06
TX000107,W008758,U008758,,U003384,2,1,1,814758.07,2025-10-28 21:00:35,MOBILE_APP,REF-FFC1807F9D7B4812,2025-10-28 21:00:35
TX000108,W003058,U003058,M000019,,1,6,1,1039364.1,2026-07-04 08:05:19,QRIS,REF-A102CC0D9C5B43DF,2026-07-04 08:05:19
TX000109,W003709,U003709,M000648,,6,1,1,156172.39,2026-03-25 18:34:51,MOBILE_APP,REF-208DBFB056834F72,2026-03-25 18:34:51
TX000110,W004182,U004182,M000848,,1,5,1,250000.0,2026-07-18 11:21:51,QRIS,REF-7EE2041C47B94CB2,2026-07-18 11:21:51
TX000111,W004062,U004062,M000987,,1,6,1,3000000.0,2025-02-14 02:45:56,MOBILE_APP,REF-5E9BE93C0C4C4222,2025-02-14 02:45:56
TX000112,W008457,U008457,M000614,,1,4,1,50850.25,2026-06-07 21:03:30,MOBILE_APP,REF-DC93DA7782D74B0F,2026-06-07 21:03:30
TX000113,W003789,U003789,M000078,,1,3,1,124619.93,2026-08-02 08:29:09,QRIS,REF-9B0B270228F94F7A,2026-08-02 08:29:09
TX000114,W009304,U009304,M000555,,1,1,4,670454.78,2025-11-23 18:52:11,MOBILE_APP,REF-B06722AAFCFA4844,2025-11-23 18:52:11
TX000115,W008670,U008670,M000457,,1,2,1,5516335.71,2026-06-13 12:04:13,MOBILE_APP,REF-FE57930E2B6A4472,2026-06-13 12:04:13
TX000116,W000670,U000670,,U003808,2,1,1,612874.74,2025-10-04 10:09:54,BANK,REF-5ED630501BEA4E2E,2025-10-04 10:09:54
TX000117,W008315,U008315,,,4,6,2,1000000.0,2025-08-08 08:42:25,ATM,REF-36EE206C69034667,2025-08-08 08:42:25
TX000118,W000369,U000369,M000738,,1,6,1,958388.03,2026-03-05 16:00:47,MOBILE_APP,REF-9D0E1C9DE8B845DC,2026-03-05 16:00:47
TX000119,W007933,U007933,M000813,,1,1,1,8106988.6,2026-03-22 06:39:27,QRIS,REF-DDF3FD3A31934CC8,2026-03-22 06:39:27
TX000120,W004616,U004616,,,3,6,1,5000000.0,2024-11-24 18:45:29,BANK,REF-1E2AE8440AAE4AAE,2024-11-24 18:45:29
TX000121,W000565,U000565,,U006034,2,1,3,225084.74,2026-05-21 15:33:50,MOBILE_APP,REF-0EB2DF7BFF8D427E,2026-05-21 15:33:50
TX000122,W002445,U002445,M000383,,1,3,1,138335.86,2026-04-25 16:12:58,WEB,REF-779FC9D168F048D3,2026-04-25 16:12:58
TX000123,W008577,U008577,M000327,,6,3,1,83607.79,2026-01-22 22:04:14,MOBILE_APP,REF-7B7527D6A9084E8E,2026-01-22 22:04:14
TX000124,W002008,U002008,,,4,1,1,2000000.0,2026-07-24 14:45:29,ATM,REF-8F0A3BD4F72B43B0,2026-07-24 14:45:29
TX000125,W004279,U004279,M000261,,1,2,2,90856.01,2026-01-04 09:41:21,QRIS,REF-81D71AFC23934B64,2026-01-04 09:41:21
TX000126,W001990,U001990,M000792,,1,2,1,284327.61,2025-07-14 09:16:17,QRIS,REF-2A52D7D2266545AE,2025-07-14 09:16:17
TX000127,W002793,U002793,M000672,,1,3,1,556015.86,2025-01-11 19:16:16,QRIS,REF-FD10060A0FFF456D,2025-01-11 19:16:16
TX000128,W000680,U000680,,U009117,2,1,1,121705.17,2024-11-04 18:23:45,ATM,REF-B23A0BA9B9164F38,2024-11-04 18:23:45
TX000129,W008295,U008295,,,3,3,1,50000.0,2026-04-23 13:50:21,MOBILE_APP,REF-E89A82A1801F49C5,2026-04-23 13:50:21
TX000130,W000153,U000153,M000540,,6,1,1,1799400.71,2026-06-02 14:09:40,ATM,REF-006A440B012B442B,2026-06-02 14:09:40
TX000131,W001695,U001695,M000451,,1,4,1,419605.47,2025-11-17 17:57:33,QRIS,REF-A8E7AAEFC6A0431B,2025-11-17 17:57:33
TX000132,W007424,U007424,M000280,,6,1,1,536180.77,2026-02-21 16:15:05,MOBILE_APP,REF-EDB637BF0A9242D4,2026-02-21 16:15:05
TX000133,W005564,U005564,,,3,6,1,2000000.0,2026-01-23 17:53:40,MOBILE_APP,REF-BEE3F7635B5C4F50,2026-01-23 17:53:40
TX000134,W004710,U004710,,U000183,2,1,1,337757.56,2026-08-19 17:52:25,MOBILE_APP,REF-055C776DE93F43C0,2026-08-19 17:52:25
TX000135,W009161,U009161,M000743,,1,2,1,156781.36,2026-05-21 16:52:52,QRIS,REF-314654C9EF444A15,2026-05-21 16:52:52
TX000136,W005550,U005550,M000263,,1,2,1,1000000.0,2026-08-02 19:31:31,MOBILE_APP,REF-E1A1AC461DE24B02,2026-08-02 19:31:31
TX000137,W005417,U005417,,,4,6,1,1000000.0,2026-04-30 11:32:48,BANK,REF-77889C06AEFF4FAF,2026-04-30 11:32:48
TX000138,W001939,U001939,M000742,,1,5,1,573389.16,2026-04-07 09:34:14,QRIS,REF-989926B486104BA6,2026-04-07 09:34:14
TX000139,W006039,U006039,M000190,,1,6,1,403053.05,2025-12-05 10:30:33,QRIS,REF-F434470A6B0A47F8,2025-12-05 10:30:33
TX000140,W001306,U001306,,,3,6,1,50000.0,2025-04-03 07:00:54,BANK,REF-9563A0E7D91644D6,2025-04-03 07:00:54
TX000141,W006998,U006998,M000141,,1,2,1,466326.04,2026-07-06 15:33:36,WEB,REF-D5E54C81B3C64ECB,2026-07-06 15:33:36
TX000142,W007870,U007870,M000270,,1,4,1,623135.26,2024-11-18 08:26:37,MOBILE_APP,REF-A25D538BED1C4491,2024-11-18 08:26:37
TX000143,W003302,U003302,M000087,,1,3,1,422444.55,2026-08-22 07:44:05,QRIS,REF-426C3C0044424013,2026-08-22 07:44:05
TX000144,W005652,U005652,,,4,1,1,500000.0,2026-04-16 17:43:04,ATM,REF-9A78FAB0ADA14F1D,2026-04-16 17:43:04
TX000145,W004710,U004710,M000632,,1,6,1,816810.38,2026-07-07 14:39:01,QRIS,REF-25E7C1482249423D,2026-07-07 14:39:01
TX000146,W008086,U008086,,,3,6,1,500000.0,2024-10-18 19:40:17,MOBILE_APP,REF-3C948FCCB4644E11,2024-10-18 19:40:17
TX000147,W005591,U005591,M000116,,6,1,1,1602004.34,2026-07-07 13:18:53,MOBILE_APP,REF-0CD4A01E6A2C4E32,2026-07-07 13:18:53
TX000148,W009436,U009436,,,3,3,1,20000.0,2026-04-01 12:15:47,MOBILE_APP,REF-27014BEBEE234B03,2026-04-01 12:15:47
TX000149,W006233,U006233,M000696,,1,2,2,3811191.39,2026-03-15 10:04:54,QRIS,REF-8BBF9E6D57084A40,2026-03-15 10:04:54
TX000150,W000225,U000225,M000114,,6,1,1,813239.99,2025-12-03 12:50:33,WEB,REF-BB413ED054ED4E2B,2025-12-03 12:50:33
TX000151,W004807,U004807,M000162,,1,2,1,10000000.0,2025-11-13 20:10:17,QRIS,REF-550D8B38E7154703,2025-11-13 20:10:17
TX000152,W006703,U006703,,,3,3,1,5000000.0,2026-08-18 11:58:59,BANK,REF-8632F2A6DBE04CD8,2026-08-18 11:58:59
TX000153,W001956,U001956,M000616,,1,3,1,363317.86,2024-05-02 22:24:45,QRIS,REF-69E1C75183C14C10,2024-05-02 22:24:45
TX000154,W004857,U004857,M000822,,1,2,1,119819.89,2026-04-20 07:58:12,QRIS,REF-761F109031B24D03,2026-04-20 07:58:12
TX000155,W009504,U009504,M000026,,6,1,1,988047.17,2026-05-03 12:30:22,MOBILE_APP,REF-5FAB377348CA461C,2026-05-03 12:30:22
TX000156,W003156,U003156,M000346,,1,5,1,10495649.26,2026-08-20 20:35:13,QRIS,REF-3F415E1761714B40,2026-08-20 20:35:13
TX000157,W002653,U002653,M000724,,1,2,1,377801.9,2025-06-28 08:21:42,MOBILE_APP,REF-EA4726F6DAC542F8,2025-06-28 08:21:42
TX000158,W009871,U009871,M000931,,1,6,1,1095650.8,2026-03-20 13:15:12,QRIS,REF-268811EDF65840EC,2026-03-20 13:15:12
TX000159,W003710,U003710,,,3,6,1,2000000.0,2025-08-31 22:57:45,MOBILE_APP,REF-8DCF7C4FF393485F,2025-08-31 22:57:45
TX000160,W009792,U009792,M000382,,1,6,1,250000.0,2026-03-29 16:12:08,MOBILE_APP,REF-219E378C67CE4C7C,2026-03-29 16:12:08
TX000161,W004010,U004010,M000180,,1,6,1,204577.95,2026-05-09 08:36:14,QRIS,REF-F749C129061F4498,2026-05-09 08:36:14
TX000162,W005747,U005747,M000366,,6,1,1,25874.58,2025-12-31 16:39:31,MOBILE_APP,REF-0FB76AF9C3BF469F,2025-12-31 16:39:31
TX000163,W009038,U009038,M000529,,1,6,1,239316.77,2025-03-01 20:42:59,MOBILE_APP,REF-32FB1A827E10470F,2025-03-01 20:42:59
TX000164,W008140,U008140,,U007896,2,1,1,646419.73,2026-08-11 11:52:30,MOBILE_APP,REF-0F5A40A08C454420,2026-08-11 11:52:30
TX000165,W002587,U002587,M000760,,1,4,1,1057097.63,2026-06-22 16:14:59,QRIS,REF-FF8C5198112D498C,2026-06-22 16:14:59
TX000166,W009219,U009219,,U008226,2,1,1,142143.43,2025-12-13 18:54:07,MOBILE_APP,REF-13EC40B2B93C4BC5,2025-12-13 18:54:07
TX000167,W008402,U008402,M000565,,1,2,1,429247.45,2025-09-13 14:09:29,QRIS,REF-340FAB1FD3E94BB9,2025-09-13 14:09:29
TX000168,W001821,U001821,,U006971,2,1,1,490736.6,2026-06-05 21:24:46,MOBILE_APP,REF-2BD1E514E68B477F,2026-06-05 21:24:46
TX000169,W005183,U005183,,,4,6,1,200000.0,2026-07-31 12:18:59,MOBILE_APP,REF-EFE5D7F33EEE416C,2026-07-31 12:18:59
TX000170,W005889,U005889,,U009816,2,1,1,29440.29,2026-07-28 12:13:50,BANK,REF-A5F4F62A8CE1447D,2026-07-28 12:13:50
TX000171,W002660,U002660,,,3,6,1,200000.0,2025-07-22 15:16:01,BANK,REF-0C0EA9306C984B7C,2025-07-22 15:16:01
TX000172,W004364,U004364,M000499,,1,1,1,69071.16,2026-07-07 12:25:19,QRIS,REF-FC517DCBBA3E46DD,2026-07-07 12:25:19
TX000173,W006078,U006078,,U005018,2,1,1,177049.48,2025-12-28 12:17:59,QRIS,REF-E87AA793148B4B2C,2025-12-28 12:17:59
TX000174,W000008,U000008,M000429,,1,2,1,144661.13,2026-07-12 15:38:37,QRIS,REF-F8876B1EDC304534,2026-07-12 15:38:37
TX000175,W004913,U004913,,U002647,2,1,1,155537.46,2026-07-06 17:21:13,MOBILE_APP,REF-065A6AD0780144C5,2026-07-06 17:21:13
TX000176,W008442,U008442,,U003805,2,1,1,206554.5,2025-12-05 21:25:37,MOBILE_APP,REF-99698155E5AA4625,2025-12-05 21:25:37
TX000177,W000090,U000090,M000879,,1,2,1,99018.87,2026-07-08 14:01:04,WEB,REF-DEE40079AB524FCF,2026-07-08 14:01:04
TX000178,W001607,U001607,M000656,,1,4,1,1175661.14,2026-06-27 08:34:31,MOBILE_APP,REF-1937E020911E4AA6,2026-06-27 08:34:31
TX000179,W002865,U002865,,,3,5,1,200000.0,2025-11-03 11:41:12,MOBILE_APP,REF-BFC606934B214D95,2025-11-03 11:41:12
TX000180,W000280,U000280,,,4,6,1,50000.0,2025-10-18 12:02:44,ATM,REF-FCF3CB1987A54784,2025-10-18 12:02:44
TX000181,W005798,U005798,M000966,,1,1,1,866712.47,2026-07-23 13:41:21,MOBILE_APP,REF-C265D027A12E4EB6,2026-07-23 13:41:21
